Year,Finland,Germany
2008,1024.0126588676449,3809.690805495951
2009,1016.2676015222132,3758.2780800924957
2010,1010.7701348138366,3686.9168814360823
2011,978.8829832854008,3670.9459827212845
2012,981.0922112894742,3651.1839869071464
2013,953.6907326928999,3666.841359447381
2014,949.7917780248359,3487.907093920704
2015,925.774945993194,3597.280571372661
2016,934.1632549214971,3487.802624540863
2017,912.4683933780748,3481.8782579254057
2018,911.1481900296901,3504.079423105103
2019,881.9157843265298,3390.859073018915
2020,889.4563177799163,3422.7089132903393
