Year,Country,Age Range,Gender,deaths_by_year_gender_age,deaths_by_year_age,population_by_gender_year_age
2008,Finland,0 - 4,Females,81,201,144198
2008,Finland,10 - 14,Females,13,31,151688
2008,Finland,15 - 19,Females,38,138,163216
2008,Finland,20 - 24,Females,53,220,158952
2008,Finland,25 - 29,Females,62,230,165701
2008,Finland,30 - 34,Females,64,272,162543
2008,Finland,35 - 39,Females,104,387,152352
2008,Finland,40 - 44,Females,191,687,181293
2008,Finland,45 - 49,Females,300,1010,187140
2008,Finland,5 - 9,Females,12,33,140101
2008,Finland,50 - 54,Females,543,1731,191006
2008,Finland,55 - 59,Females,837,2740,198198
2008,Finland,60 - 64,Females,1058,3449,191508
2008,Finland,65 - 69,Females,1139,3384,134775
2008,Finland,70 - 74,Females,1656,4427,119916
2008,Finland,75 - 79,Females,2883,6520,107138
2008,Finland,80 - 84,Females,4674,8370,87427
2008,Finland,85 - over,Females,10931,15260,77509
2008,Finland,0 - 4,Males,120,201,150804
2008,Finland,10 - 14,Males,18,31,157654
2008,Finland,15 - 19,Males,100,138,169961
2008,Finland,20 - 24,Males,167,220,166488
2008,Finland,25 - 29,Males,168,230,174715
2008,Finland,30 - 34,Males,208,272,171532
2008,Finland,35 - 39,Males,283,387,159578
2008,Finland,40 - 44,Males,496,687,186832
2008,Finland,45 - 49,Males,710,1010,190839
2008,Finland,5 - 9,Males,21,33,146717
2008,Finland,50 - 54,Males,1188,1731,190665
2008,Finland,55 - 59,Males,1903,2740,196318
2008,Finland,60 - 64,Males,2391,3449,184247
2008,Finland,65 - 69,Males,2245,3384,120498
2008,Finland,70 - 74,Males,2771,4427,97658
2008,Finland,75 - 79,Males,3637,6520,73731
2008,Finland,80 - 84,Males,3696,8370,47128
2008,Finland,85 - over,Males,4329,15260,26288
2009,Finland,0 - 4,Females,95,186,145917
2009,Finland,10 - 14,Females,18,35,148167
2009,Finland,15 - 19,Females,40,146,164053
2009,Finland,20 - 24,Females,52,212,158484
2009,Finland,25 - 29,Females,62,244,167612
2009,Finland,30 - 34,Females,72,309,164398
2009,Finland,35 - 39,Females,90,346,151847
2009,Finland,40 - 44,Females,197,626,176611
2009,Finland,45 - 49,Females,328,1094,187231
2009,Finland,5 - 9,Females,8,20,140419
2009,Finland,50 - 54,Females,490,1590,188726
2009,Finland,55 - 59,Females,801,2482,195763
2009,Finland,60 - 64,Females,1132,3604,202029
2009,Finland,65 - 69,Females,1154,3544,135741
2009,Finland,70 - 74,Females,1684,4591,123793
2009,Finland,75 - 79,Females,2719,6330,105478
2009,Finland,80 - 84,Females,4653,8664,89487
