Year,Gender,Age Range,Deaths,Country,Total
2008,Females,0 - 4,81,Finland,201
2008,Females,10 - 14,13,Finland,31
2008,Females,15 - 19,38,Finland,138
2008,Females,20 - 24,53,Finland,220
2008,Females,25 - 29,62,Finland,230
2008,Females,30 - 34,64,Finland,272
2008,Females,35 - 39,104,Finland,387
2008,Females,40 - 44,191,Finland,687
2008,Females,45 - 49,300,Finland,1010
2008,Females,5 - 9,12,Finland,33
2008,Females,50 - 54,543,Finland,1731
2008,Females,55 - 59,837,Finland,2740
2008,Females,60 - 64,1058,Finland,3449
2008,Females,65 - 69,1139,Finland,3384
2008,Females,70 - 74,1656,Finland,4427
2008,Females,75 - 79,2883,Finland,6520
2008,Females,80 - 84,4674,Finland,8370
2008,Females,85 - over,10931,Finland,15260
2008,Males,0 - 4,120,Finland,201
2008,Males,10 - 14,18,Finland,31
2008,Males,15 - 19,100,Finland,138
2008,Males,20 - 24,167,Finland,220
2008,Males,25 - 29,168,Finland,230
2008,Males,30 - 34,208,Finland,272
2008,Males,35 - 39,283,Finland,387
2008,Males,40 - 44,496,Finland,687
2008,Males,45 - 49,710,Finland,1010
2008,Males,5 - 9,21,Finland,33
2008,Males,50 - 54,1188,Finland,1731
2008,Males,55 - 59,1903,Finland,2740
2008,Males,60 - 64,2391,Finland,3449
2008,Males,65 - 69,2245,Finland,3384
2008,Males,70 - 74,2771,Finland,4427
2008,Males,75 - 79,3637,Finland,6520
2008,Males,80 - 84,3696,Finland,8370
2008,Males,85 - over,4329,Finland,15260
2009,Females,0 - 4,95,Finland,186
2009,Females,10 - 14,18,Finland,35
2009,Females,15 - 19,40,Finland,146
2009,Females,20 - 24,52,Finland,212
2009,Females,25 - 29,62,Finland,244
2009,Females,30 - 34,72,Finland,309
2009,Females,35 - 39,90,Finland,346
2009,Females,40 - 44,197,Finland,626
2009,Females,45 - 49,328,Finland,1094
2009,Females,5 - 9,8,Finland,20
2009,Females,50 - 54,490,Finland,1590
2009,Females,55 - 59,801,Finland,2482
2009,Females,60 - 64,1132,Finland,3604
