Year_1,Sex,Age,population_by_gender_year_age
2008,Females,0 - 4,144198
2008,Females,10 - 14,151688
2008,Females,15 - 19,163216
2008,Females,20 - 24,158952
2008,Females,25 - 29,165701
2008,Females,30 - 34,162543
2008,Females,35 - 39,152352
2008,Females,40 - 44,181293
2008,Females,45 - 49,187140
2008,Females,5 - 9,140101
2008,Females,50 - 54,191006
2008,Females,55 - 59,198198
2008,Females,60 - 64,191508
2008,Females,65 - 69,134775
2008,Females,70 - 74,119916
2008,Females,75 - 79,107138
2008,Females,80 - 85,87427
2008,Females,85 - over,77509
2008,Males,0 - 4,150804
2008,Males,10 - 14,157654
2008,Males,15 - 19,169961
2008,Males,20 - 24,166488
2008,Males,25 - 29,174715
2008,Males,30 - 34,171532
2008,Males,35 - 39,159578
2008,Males,40 - 44,186832
2008,Males,45 - 49,190839
2008,Males,5 - 9,146717
2008,Males,50 - 54,190665
2008,Males,55 - 59,196318
2008,Males,60 - 64,184247
2008,Males,65 - 69,120498
2008,Males,70 - 74,97658
2008,Males,75 - 79,73731
2008,Males,80 - 85,47128
2008,Males,85 - over,26288
2009,Females,0 - 4,145917
2009,Females,10 - 14,148167
2009,Females,15 - 19,164053
2009,Females,20 - 24,158484
2009,Females,25 - 29,167612
2009,Females,30 - 34,164398
2009,Females,35 - 39,151847
2009,Females,40 - 44,176611
2009,Females,45 - 49,187231
2009,Females,5 - 9,140419
2009,Females,50 - 54,188726
2009,Females,55 - 59,195763
2009,Females,60 - 64,202029
2009,Females,65 - 69,135741
2009,Females,70 - 74,123793
2009,Females,75 - 79,105478
2009,Females,80 - 85,89487
2009,Females,85 - over,80604
2009,Males,0 - 4,152197
2009,Males,10 - 14,154256
2009,Males,15 - 19,170583
2009,Males,20 - 24,165988
2009,Males,25 - 29,177022
2009,Males,30 - 34,173572
2009,Males,35 - 39,158921
2009,Males,40 - 44,182143
2009,Males,45 - 49,191110
2009,Males,5 - 9,147367
2009,Males,50 - 54,189311
2009,Males,55 - 59,192402
2009,Males,60 - 64,194857
2009,Males,65 - 69,122578
2009,Males,70 - 74,101250
2009,Males,75 - 79,74193
2009,Males,80 - 85,49230
2009,Males,85 - over,28087
2010,Females,0 - 4,147378
2010,Females,10 - 14,145131
2010,Females,15 - 19,162860
2010,Females,20 - 24,159963
2010,Females,25 - 29,168353
2010,Females,30 - 34,165057
2010,Females,35 - 39,152802
2010,Females,40 - 44,172117
2010,Females,45 - 49,186481
2010,Females,5 - 9,141523
2010,Females,50 - 54,187229
2010,Females,55 - 59,193971
2010,Females,60 - 64,204664
2010,Females,65 - 69,147454
2010,Females,70 - 74,122711
2010,Females,75 - 79,104459
2010,Females,80 - 85,90688
2010,Females,85 - over,84019
2010,Males,0 - 4,154243
2010,Males,10 - 14,151578
2010,Males,15 - 19,169224
2010,Males,20 - 24,167817
2010,Males,25 - 29,177710
2010,Males,30 - 34,174220
2010,Males,35 - 39,161115
2010,Males,40 - 44,177566
2010,Males,45 - 49,190596
2010,Males,5 - 9,147824
2010,Males,50 - 54,187628
2010,Males,55 - 59,190137
2010,Males,60 - 64,197048
2010,Males,65 - 69,134543
2010,Males,70 - 74,100784
2010,Males,75 - 79,75178
2010,Males,80 - 85,51064
2010,Males,85 - over,30141
2011,Females,0 - 4,148096
2011,Females,10 - 14,143320
2011,Females,15 - 19,160535
2011,Females,20 - 24,162625
2011,Females,25 - 29,167897
2011,Females,30 - 34,165536
2011,Females,35 - 39,155863
2011,Females,40 - 44,166939
