Year,Country,Age Range,Gender,deaths_by_year_gender_age,deaths_by_year_age,population_by_gender_year_age
2008,Germany,0 - 4,Female,1285.0,2950.0,1682865
2008,Germany,10 - 14,Female,181.0,410.0,1944911
2008,Germany,15 - 19,Female,388.0,1325.0,2224055
2008,Germany,20 - 24,Female,520.0,1925.0,2395355
2008,Germany,25 - 29,Female,642.0,2181.0,2459976
2008,Germany,30 - 34,Female,746.0,2526.0,2320419
2008,Germany,35 - 39,Female,1577.0,4577.0,2856585
2008,Germany,40 - 44,Female,3260.0,9476.0,3469624
2008,Germany,45 - 49,Female,5783.0,16511.0,3341439
2008,Germany,5 - 9,Female,138.0,324.0,1831197
2008,Germany,50 - 54,Female,8035.0,23544.0,2907154
2008,Germany,55 - 59,Female,11178.0,32580.0,2683665
2008,Germany,60 - 64,Female,13800.0,39767.0,2155823
2008,Germany,65 - 69,Female,25206.0,71507.0,2723037
2008,Germany,70 - 74,Female,36543.0,95032.0,2363515
2008,Germany,75 - 79,Female,52494.0,117693.0,1748576
2008,Germany,80 - 84,Female,85837.0,149634.0,1464250
2008,Germany,85 - over,Female,199175.0,272476.0,1308735
2008,Germany,0 - 4,Male,1665.0,2950.0,1774122
2008,Germany,10 - 14,Male,229.0,410.0,2050618
2008,Germany,15 - 19,Male,937.0,1325.0,2338159
2008,Germany,20 - 24,Male,1405.0,1925.0,2483105
2008,Germany,25 - 29,Male,1539.0,2181.0,2521911
2008,Germany,30 - 34,Male,1780.0,2526.0,2384591
2008,Germany,35 - 39,Male,3000.0,4577.0,2971934
2008,Germany,40 - 44,Male,6216.0,9476.0,3646234
2008,Germany,45 - 49,Male,10728.0,16511.0,3460032
2008,Germany,5 - 9,Male,186.0,324.0,1927804
2008,Germany,50 - 54,Male,15509.0,23544.0,2942964
2008,Germany,55 - 59,Male,21402.0,32580.0,2638364
2008,Germany,60 - 64,Male,25967.0,39767.0,2084379
2008,Germany,65 - 69,Male,46301.0,71507.0,2511093
2008,Germany,70 - 74,Male,58489.0,95032.0,2006600
2008,Germany,75 - 79,Male,65199.0,117693.0,1276111
2008,Germany,80 - 84,Male,63797.0,149634.0,760843
2008,Germany,85 - over,Male,73301.0,272476.0,459731
2009,Germany,0 - 4,Female,1211.0,2863.0,1668119
2009,Germany,10 - 14,Female,187.0,405.0,1933050
2009,Germany,15 - 19,Female,405.0,1249.0,2142728
2009,Germany,20 - 24,Female,552.0,1896.0,2409448
2009,Germany,25 - 29,Female,629.0,2195.0,2456994
2009,Germany,30 - 34,Female,828.0,2589.0,2327544
2009,Germany,35 - 39,Female,1440.0,4219.0,2668834
2009,Germany,40 - 44,Female,3162.0,9036.0,3396334
2009,Germany,45 - 49,Female,5733.0,16414.0,3415711
2009,Germany,5 - 9,Female,147.0,318.0,1793307
2009,Germany,50 - 54,Female,8075.0,23775.0,2964640
2009,Germany,55 - 59,Female,11250.0,33180.0,2726407
2009,Germany,60 - 64,Female,13466.0,38904.0,2168584
2009,Germany,65 - 69,Female,24360.0,68760.0,2604013
2009,Germany,70 - 74,Female,37586.0,98617.0,2496589
2009,Germany,75 - 79,Female,51447.0,115601.0,1750798
2009,Germany,80 - 84,Female,85827.0,154533.0,1466736
2009,Germany,85 - over,Female,203270.0,279990.0,1351664
2009,Germany,0 - 4,Male,1652.0,2863.0,1758049
2009,Germany,10 - 14,Male,218.0,405.0,2038023
2009,Germany,15 - 19,Male,844.0,1249.0,2254433
2009,Germany,20 - 24,Male,1344.0,1896.0,2505633
2009,Germany,25 - 29,Male,1566.0,2195.0,2522097
2009,Germany,30 - 34,Male,1761.0,2589.0,2387717
2009,Germany,35 - 39,Male,2779.0,4219.0,2758279
2009,Germany,40 - 44,Male,5874.0,9036.0,3560260
2009,Germany,45 - 49,Male,10681.0,16414.0,3540801
2009,Germany,5 - 9,Male,171.0,318.0,1886995
2009,Germany,50 - 54,Male,15700.0,23775.0,3013317
2009,Germany,55 - 59,Male,21930.0,33180.0,2669863
2009,Germany,60 - 64,Male,25438.0,38904.0,2098159
2009,Germany,65 - 69,Male,44400.0,68760.0,2406791
2009,Germany,70 - 74,Male,61031.0,98617.0,2132893
2009,Germany,75 - 79,Male,64154.0,115601.0,1298989
2009,Germany,80 - 84,Male,68706.0,154533.0,817736
2009,Germany,85 - over,Male,76720.0,279990.0,483235
2010,Germany,0 - 4,Female,1249.0,2804.0,1659879
2010,Germany,10 - 14,Female,144.0,365.0,1930094
2010,Germany,15 - 19,Female,376.0,1138.0,2059370
2010,Germany,20 - 24,Female,536.0,1844.0,2429687
2010,Germany,25 - 29,Female,624.0,2211.0,2444777
2010,Germany,30 - 34,Female,791.0,2561.0,2363169
2010,Germany,35 - 39,Female,1348.0,4028.0,2515794
2010,Germany,40 - 44,Female,3044.0,8622.0,3297831
2010,Germany,45 - 49,Female,5565.0,15893.0,3461426
2010,Germany,5 - 9,Female,143.0,316.0,1757470
2010,Germany,50 - 54,Female,8308.0,24118.0,3041644
2010,Germany,55 - 59,Female,11079.0,32944.0,2750063
2010,Germany,60 - 64,Female,14146.0,40587.0,2276223
2010,Germany,65 - 69,Female,22289.0,63139.0,2404864
2010,Germany,70 - 74,Female,38202.0,100527.0,2595986
2010,Germany,75 - 79,Female,51872.0,117087.0,1805660
2010,Germany,80 - 84,Female,83350.0,154619.0,1467079
2010,Germany,85 - over,Female,206680.0,285965.0,1396584
2010,Germany,0 - 4,Male,1555.0,2804.0,1748525
2010,Germany,10 - 14,Male,221.0,365.0,2033742
2010,Germany,15 - 19,Male,762.0,1138.0,2168646
2010,Germany,20 - 24,Male,1308.0,1844.0,2533942
2010,Germany,25 - 29,Male,1587.0,2211.0,2517945
2010,Germany,30 - 34,Male,1770.0,2561.0,2422343
2010,Germany,35 - 39,Male,2680.0,4028.0,2588440
2010,Germany,40 - 44,Male,5578.0,8622.0,3446718
2010,Germany,45 - 49,Male,10328.0,15893.0,3597519
2010,Germany,5 - 9,Male,173.0,316.0,1849770
2010,Germany,50 - 54,Male,15810.0,24118.0,3099165
2010,Germany,55 - 59,Male,21865.0,32944.0,2692777
2010,Germany,60 - 64,Male,26441.0,40587.0,2201357
2010,Germany,65 - 69,Male,40850.0,63139.0,2225314
2010,Germany,70 - 74,Male,62325.0,100527.0,2230709
2010,Germany,75 - 79,Male,65215.0,117087.0,1363986
2010,Germany,80 - 84,Male,71269.0,154619.0,865809
2010,Germany,85 - over,Male,79285.0,285965.0,513164
2011,Germany,0 - 4,Female,1268.0,2871.0,1650728
2011,Germany,10 - 14,Female,166.0,395.0,1907778
2011,Germany,15 - 19,Female,316.0,1034.0,1973916
2011,Germany,20 - 24,Female,492.0,1924.0,2371500
2011,Germany,25 - 29,Female,607.0,2032.0,2388515
2011,Germany,30 - 34,Female,832.0,2608.0,2370696
2011,Germany,35 - 39,Female,1250.0,3564.0,2359513
2011,Germany,40 - 44,Female,2840.0,7948.0,3117359
2011,Germany,45 - 49,Female,5530.0,15382.0,3448197
2011,Germany,5 - 9,Female,148.0,311.0,1715332
2011,Germany,50 - 54,Female,8353.0,24012.0,3099904
2011,Germany,55 - 59,Female,11427.0,33136.0,2750699
2011,Germany,60 - 64,Female,15394.0,43202.0,2406447
2011,Germany,65 - 69,Female,20300.0,56576.0,2164152
2011,Germany,70 - 74,Female,38154.0,99387.0,2641374
2011,Germany,75 - 79,Female,51002.0,117133.0,1873161
2011,Germany,80 - 84,Female,79771.0,151469.0,1446998
2011,Germany,85 - over,Female,206850.0,289344.0,1411464
2011,Germany,0 - 4,Male,1603.0,2871.0,1737933
2011,Germany,10 - 14,Male,229.0,395.0,2008600
2011,Germany,15 - 19,Male,718.0,1034.0,2074451
2011,Germany,20 - 24,Male,1432.0,1924.0,2466852
2011,Germany,25 - 29,Male,1425.0,2032.0,2446053
2011,Germany,30 - 34,Male,1776.0,2608.0,2387215
2011,Germany,35 - 39,Male,2314.0,3564.0,2374564
2011,Germany,40 - 44,Male,5108.0,7948.0,3182282
2011,Germany,45 - 49,Male,9852.0,15382.0,3534271
2011,Germany,5 - 9,Male,163.0,311.0,1807955
2011,Germany,50 - 54,Male,15659.0,24012.0,3128217
2011,Germany,55 - 59,Male,21709.0,33136.0,2673678
2011,Germany,60 - 64,Male,27808.0,43202.0,2302429
2011,Germany,65 - 69,Male,36276.0,56576.0,1990768
2011,Germany,70 - 74,Male,61233.0,99387.0,2268246
2011,Germany,75 - 79,Male,66131.0,117133.0,1426132
2011,Germany,80 - 84,Male,71698.0,151469.0,880476
2011,Germany,85 - over,Male,82494.0,289344.0,487182
2012,Germany,0 - 4,Female,1178.0,2626.0,1651523
2012,Germany,10 - 14,Female,113.0,326.0,1873994
2012,Germany,15 - 19,Female,314.0,1020.0,1964380
2012,Germany,20 - 24,Female,460.0,1696.0,2343528
2012,Germany,25 - 29,Female,564.0,1936.0,2405398
2012,Germany,30 - 34,Female,766.0,2451.0,2416187
2012,Germany,35 - 39,Female,1177.0,3349.0,2305777
2012,Germany,40 - 44,Female,2633.0,7403.0,2973494
2012,Germany,45 - 49,Female,5283.0,14890.0,3448711
2012,Germany,5 - 9,Female,130.0,297.0,1698946
2012,Germany,50 - 54,Female,8365.0,23848.0,3190665
2012,Germany,55 - 59,Female,11216.0,32785.0,2788684
2012,Germany,60 - 64,Female,15572.0,44447.0,2514143
2012,Germany,65 - 69,Female,19394.0,53653.0,2062709
2012,Germany,70 - 74,Female,37960.0,99018.0,2624927
2012,Germany,75 - 79,Female,53017.0,121509.0,1982303
2012,Germany,80 - 84,Female,79673.0,153990.0,1431708
2012,Germany,85 - over,Female,215344.0,304338.0,1443311
2012,Germany,0 - 4,Male,1448.0,2626.0,1737894
2012,Germany,10 - 14,Male,213.0,326.0,1974731
2012,Germany,15 - 19,Male,706.0,1020.0,2068647
2012,Germany,20 - 24,Male,1236.0,1696.0,2444853
2012,Germany,25 - 29,Male,1372.0,1936.0,2484247
2012,Germany,30 - 34,Male,1685.0,2451.0,2446355
2012,Germany,35 - 39,Male,2172.0,3349.0,2324956
2012,Germany,40 - 44,Male,4770.0,7403.0,3032084
2012,Germany,45 - 49,Male,9607.0,14890.0,3539772
2012,Germany,5 - 9,Male,167.0,297.0,1790874
2012,Germany,50 - 54,Male,15483.0,23848.0,3224344
2012,Germany,55 - 59,Male,21569.0,32785.0,2725924
2012,Germany,60 - 64,Male,28875.0,44447.0,2396446
2012,Germany,65 - 69,Male,34259.0,53653.0,1899723
2012,Germany,70 - 74,Male,61058.0,99018.0,2264483
2012,Germany,75 - 79,Male,68492.0,121509.0,1527710
2012,Germany,80 - 84,Male,74317.0,153990.0,898426
2012,Germany,85 - over,Male,88994.0,304338.0,524020
2013,Germany,0 - 4,Female,1171.0,2684.0,1657062
2013,Germany,10 - 14,Female,147.0,302.0,1838049
2013,Germany,15 - 19,Female,332.0,985.0,1965293
2013,Germany,20 - 24,Female,460.0,1538.0,2301315
2013,Germany,25 - 29,Female,589.0,1951.0,2442153
2013,Germany,30 - 34,Female,851.0,2591.0,2454558
2013,Germany,35 - 39,Female,1229.0,3464.0,2306674
2013,Germany,40 - 44,Female,2477.0,6811.0,2806793
2013,Germany,45 - 49,Female,5147.0,14550.0,3419564
2013,Germany,5 - 9,Female,130.0,307.0,1696921
2013,Germany,50 - 54,Female,8574.0,24400.0,3283281
2013,Germany,55 - 59,Female,11695.0,33820.0,2836036
2013,Germany,60 - 64,Female,16266.0,46113.0,2587397
2013,Germany,65 - 69,Female,19864.0,54161.0,2045805
2013,Germany,70 - 74,Female,37390.0,97568.0,2543356
2013,Germany,75 - 79,Female,56453.0,129725.0,2114429
2013,Germany,80 - 84,Female,78784.0,153486.0,1409323
2013,Germany,85 - over,Female,222621.0,319369.0,1468680
2013,Germany,0 - 4,Male,1513.0,2684.0,1743807
2013,Germany,10 - 14,Male,155.0,302.0,1938319
2013,Germany,15 - 19,Male,653.0,985.0,2074011
2013,Germany,20 - 24,Male,1078.0,1538.0,2407043
2013,Germany,25 - 29,Male,1362.0,1951.0,2543002
2013,Germany,30 - 34,Male,1740.0,2591.0,2500992
2013,Germany,35 - 39,Male,2235.0,3464.0,2333889
2013,Germany,40 - 44,Male,4334.0,6811.0,2857420
2013,Germany,45 - 49,Male,9403.0,14550.0,3510336
2013,Germany,5 - 9,Male,177.0,307.0,1788517
