Year,Gender,Age Range,Deaths,Country,Total
2008,Female,0 - 4,1285.0,Germany,2950.0
2008,Female,10 - 14,181.0,Germany,410.0
2008,Female,15 - 19,388.0,Germany,1325.0
2008,Female,20 - 24,520.0,Germany,1925.0
2008,Female,25 - 29,642.0,Germany,2181.0
2008,Female,30 - 34,746.0,Germany,2526.0
2008,Female,35 - 39,1577.0,Germany,4577.0
2008,Female,40 - 44,3260.0,Germany,9476.0
2008,Female,45 - 49,5783.0,Germany,16511.0
2008,Female,5 - 9,138.0,Germany,324.0
2008,Female,50 - 54,8035.0,Germany,23544.0
2008,Female,55 - 59,11178.0,Germany,32580.0
2008,Female,60 - 64,13800.0,Germany,39767.0
2008,Female,65 - 69,25206.0,Germany,71507.0
2008,Female,70 - 74,36543.0,Germany,95032.0
2008,Female,75 - 79,52494.0,Germany,117693.0
2008,Female,80 - 84,85837.0,Germany,149634.0
2008,Female,85 - over,199175.0,Germany,272476.0
2008,Male,0 - 4,1665.0,Germany,2950.0
2008,Male,10 - 14,229.0,Germany,410.0
2008,Male,15 - 19,937.0,Germany,1325.0
2008,Male,20 - 24,1405.0,Germany,1925.0
2008,Male,25 - 29,1539.0,Germany,2181.0
2008,Male,30 - 34,1780.0,Germany,2526.0
2008,Male,35 - 39,3000.0,Germany,4577.0
2008,Male,40 - 44,6216.0,Germany,9476.0
2008,Male,45 - 49,10728.0,Germany,16511.0
2008,Male,5 - 9,186.0,Germany,324.0
2008,Male,50 - 54,15509.0,Germany,23544.0
2008,Male,55 - 59,21402.0,Germany,32580.0
2008,Male,60 - 64,25967.0,Germany,39767.0
2008,Male,65 - 69,46301.0,Germany,71507.0
2008,Male,70 - 74,58489.0,Germany,95032.0
2008,Male,75 - 79,65199.0,Germany,117693.0
2008,Male,80 - 84,63797.0,Germany,149634.0
2008,Male,85 - over,73301.0,Germany,272476.0
2009,Female,0 - 4,1211.0,Germany,2863.0
2009,Female,10 - 14,187.0,Germany,405.0
2009,Female,15 - 19,405.0,Germany,1249.0
2009,Female,20 - 24,552.0,Germany,1896.0
2009,Female,25 - 29,629.0,Germany,2195.0
2009,Female,30 - 34,828.0,Germany,2589.0
2009,Female,35 - 39,1440.0,Germany,4219.0
2009,Female,40 - 44,3162.0,Germany,9036.0
2009,Female,45 - 49,5733.0,Germany,16414.0
2009,Female,5 - 9,147.0,Germany,318.0
2009,Female,50 - 54,8075.0,Germany,23775.0
2009,Female,55 - 59,11250.0,Germany,33180.0
2009,Female,60 - 64,13466.0,Germany,38904.0
2009,Female,65 - 69,24360.0,Germany,68760.0
2009,Female,70 - 74,37586.0,Germany,98617.0
2009,Female,75 - 79,51447.0,Germany,115601.0
2009,Female,80 - 84,85827.0,Germany,154533.0
2009,Female,85 - over,203270.0,Germany,279990.0
2009,Male,0 - 4,1652.0,Germany,2863.0
2009,Male,10 - 14,218.0,Germany,405.0
2009,Male,15 - 19,844.0,Germany,1249.0
2009,Male,20 - 24,1344.0,Germany,1896.0
2009,Male,25 - 29,1566.0,Germany,2195.0
2009,Male,30 - 34,1761.0,Germany,2589.0
2009,Male,35 - 39,2779.0,Germany,4219.0
2009,Male,40 - 44,5874.0,Germany,9036.0
2009,Male,45 - 49,10681.0,Germany,16414.0
2009,Male,5 - 9,171.0,Germany,318.0
2009,Male,50 - 54,15700.0,Germany,23775.0
2009,Male,55 - 59,21930.0,Germany,33180.0
2009,Male,60 - 64,25438.0,Germany,38904.0
2009,Male,65 - 69,44400.0,Germany,68760.0
2009,Male,70 - 74,61031.0,Germany,98617.0
2009,Male,75 - 79,64154.0,Germany,115601.0
2009,Male,80 - 84,68706.0,Germany,154533.0
2009,Male,85 - over,76720.0,Germany,279990.0
2010,Female,0 - 4,1249.0,Germany,2804.0
2010,Female,10 - 14,144.0,Germany,365.0
2010,Female,15 - 19,376.0,Germany,1138.0
2010,Female,20 - 24,536.0,Germany,1844.0
2010,Female,25 - 29,624.0,Germany,2211.0
2010,Female,30 - 34,791.0,Germany,2561.0
2010,Female,35 - 39,1348.0,Germany,4028.0
2010,Female,40 - 44,3044.0,Germany,8622.0
2010,Female,45 - 49,5565.0,Germany,15893.0
2010,Female,5 - 9,143.0,Germany,316.0
2010,Female,50 - 54,8308.0,Germany,24118.0
2010,Female,55 - 59,11079.0,Germany,32944.0
2010,Female,60 - 64,14146.0,Germany,40587.0
2010,Female,65 - 69,22289.0,Germany,63139.0
2010,Female,70 - 74,38202.0,Germany,100527.0
2010,Female,75 - 79,51872.0,Germany,117087.0
2010,Female,80 - 84,83350.0,Germany,154619.0
2010,Female,85 - over,206680.0,Germany,285965.0
2010,Male,0 - 4,1555.0,Germany,2804.0
2010,Male,10 - 14,221.0,Germany,365.0
2010,Male,15 - 19,762.0,Germany,1138.0
2010,Male,20 - 24,1308.0,Germany,1844.0
2010,Male,25 - 29,1587.0,Germany,2211.0
2010,Male,30 - 34,1770.0,Germany,2561.0
2010,Male,35 - 39,2680.0,Germany,4028.0
2010,Male,40 - 44,5578.0,Germany,8622.0
2010,Male,45 - 49,10328.0,Germany,15893.0
2010,Male,5 - 9,173.0,Germany,316.0
2010,Male,50 - 54,15810.0,Germany,24118.0
2010,Male,55 - 59,21865.0,Germany,32944.0
2010,Male,60 - 64,26441.0,Germany,40587.0
2010,Male,65 - 69,40850.0,Germany,63139.0
2010,Male,70 - 74,62325.0,Germany,100527.0
2010,Male,75 - 79,65215.0,Germany,117087.0
2010,Male,80 - 84,71269.0,Germany,154619.0
2010,Male,85 - over,79285.0,Germany,285965.0
2011,Female,0 - 4,1268.0,Germany,2871.0
2011,Female,10 - 14,166.0,Germany,395.0
2011,Female,15 - 19,316.0,Germany,1034.0
2011,Female,20 - 24,492.0,Germany,1924.0
2011,Female,25 - 29,607.0,Germany,2032.0
2011,Female,30 - 34,832.0,Germany,2608.0
2011,Female,35 - 39,1250.0,Germany,3564.0
2011,Female,40 - 44,2840.0,Germany,7948.0
2011,Female,45 - 49,5530.0,Germany,15382.0
