Year_2,Sex,Age,pop_by_gender_year_age
2008,Female,0 - 4,1682865
2008,Female,10 - 14,1944911
2008,Female,15 - 19,2224055
2008,Female,20 - 24,2395355
2008,Female,25 - 29,2459976
2008,Female,30 - 34,2320419
2008,Female,35 - 39,2856585
2008,Female,40 - 44,3469624
2008,Female,45 - 49,3341439
2008,Female,5 - 9,1831197
2008,Female,50 - 54,2907154
2008,Female,55 - 59,2683665
2008,Female,60 - 64,2155823
2008,Female,65 - 69,2723037
2008,Female,70 - 74,2363515
2008,Female,75 - 79,1748576
2008,Female,80 - 84,1464250
2008,Female,85 - over,1308735
2008,Male,0 - 4,1774122
2008,Male,10 - 14,2050618
2008,Male,15 - 19,2338159
2008,Male,20 - 24,2483105
2008,Male,25 - 29,2521911
2008,Male,30 - 34,2384591
2008,Male,35 - 39,2971934
2008,Male,40 - 44,3646234
2008,Male,45 - 49,3460032
2008,Male,5 - 9,1927804
2008,Male,50 - 54,2942964
2008,Male,55 - 59,2638364
2008,Male,60 - 64,2084379
2008,Male,65 - 69,2511093
2008,Male,70 - 74,2006600
2008,Male,75 - 79,1276111
2008,Male,80 - 84,760843
2008,Male,85 - over,459731
2009,Female,0 - 4,1668119
2009,Female,10 - 14,1933050
2009,Female,15 - 19,2142728
2009,Female,20 - 24,2409448
2009,Female,25 - 29,2456994
2009,Female,30 - 34,2327544
2009,Female,35 - 39,2668834
2009,Female,40 - 44,3396334
2009,Female,45 - 49,3415711
2009,Female,5 - 9,1793307
2009,Female,50 - 54,2964640
2009,Female,55 - 59,2726407
2009,Female,60 - 64,2168584
2009,Female,65 - 69,2604013
2009,Female,70 - 74,2496589
2009,Female,75 - 79,1750798
2009,Female,80 - 84,1466736
2009,Female,85 - over,1351664
2009,Male,0 - 4,1758049
2009,Male,10 - 14,2038023
2009,Male,15 - 19,2254433
2009,Male,20 - 24,2505633
2009,Male,25 - 29,2522097
2009,Male,30 - 34,2387717
2009,Male,35 - 39,2758279
2009,Male,40 - 44,3560260
2009,Male,45 - 49,3540801
2009,Male,5 - 9,1886995
2009,Male,50 - 54,3013317
2009,Male,55 - 59,2669863
2009,Male,60 - 64,2098159
2009,Male,65 - 69,2406791
2009,Male,70 - 74,2132893
2009,Male,75 - 79,1298989
2009,Male,80 - 84,817736
2009,Male,85 - over,483235
2010,Female,0 - 4,1659879
2010,Female,10 - 14,1930094
2010,Female,15 - 19,2059370
2010,Female,20 - 24,2429687
2010,Female,25 - 29,2444777
2010,Female,30 - 34,2363169
2010,Female,35 - 39,2515794
2010,Female,40 - 44,3297831
2010,Female,45 - 49,3461426
2010,Female,5 - 9,1757470
2010,Female,50 - 54,3041644
2010,Female,55 - 59,2750063
2010,Female,60 - 64,2276223
2010,Female,65 - 69,2404864
2010,Female,70 - 74,2595986
2010,Female,75 - 79,1805660
2010,Female,80 - 84,1467079
2010,Female,85 - over,1396584
2010,Male,0 - 4,1748525
2010,Male,10 - 14,2033742
2010,Male,15 - 19,2168646
2010,Male,20 - 24,2533942
2010,Male,25 - 29,2517945
2010,Male,30 - 34,2422343
2010,Male,35 - 39,2588440
2010,Male,40 - 44,3446718
2010,Male,45 - 49,3597519
2010,Male,5 - 9,1849770
2010,Male,50 - 54,3099165
2010,Male,55 - 59,2692777
2010,Male,60 - 64,2201357
2010,Male,65 - 69,2225314
2010,Male,70 - 74,2230709
2010,Male,75 - 79,1363986
2010,Male,80 - 84,865809
2010,Male,85 - over,513164
2011,Female,0 - 4,1650728
2011,Female,10 - 14,1907778
2011,Female,15 - 19,1973916
2011,Female,20 - 24,2371500
2011,Female,25 - 29,2388515
2011,Female,30 - 34,2370696
2011,Female,35 - 39,2359513
2011,Female,40 - 44,3117359
2011,Female,45 - 49,3448197
2011,Female,5 - 9,1715332
2011,Female,50 - 54,3099904
2011,Female,55 - 59,2750699
2011,Female,60 - 64,2406447
2011,Female,65 - 69,2164152
2011,Female,70 - 74,2641374
2011,Female,75 - 79,1873161
2011,Female,80 - 84,1446998
2011,Female,85 - over,1411464
2011,Male,0 - 4,1737933
2011,Male,10 - 14,2008600
2011,Male,15 - 19,2074451
2011,Male,20 - 24,2466852
2011,Male,25 - 29,2446053
2011,Male,30 - 34,2387215
2011,Male,35 - 39,2374564
2011,Male,40 - 44,3182282
2011,Male,45 - 49,3534271
