Gender,Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Male,under 1 year,1381,1339,1294,1347,1207,1268,1266,1297,1494,1418,1399,1387,1283
Male,1 year,105,136,102,105,99,106,80,108,114,109,107,110,78
Male,2 years,87,65,68,66,52,58,37,65,68,58,57,65,41
Male,3 years,51,52,47,48,39,47,58,44,37,37,51,53,40
Male,4 years,41,60,44,37,51,34,39,42,44,31,45,45,46
Male,5 years,37,37,41,38,43,42,26,30,46,33,33,43,30
Male,6 years,38,39,42,34,31,27,37,35,41,28,32,40,31
Male,7 years,34,35,29,27,31,34,32,27,33,25,38,33,39
Male,8 years,36,29,31,34,33,29,23,28,38,28,30,25,31
Male,9 years,41,31,30,30,29,45,36,24,28,24,38,29,24
Male,10 years,38,33,27,46,27,23,25,29,31,23,35,28,22
Male,11 years,41,40,28,36,38,23,37,31,32,28,27,28,24
Male,12 years,46,34,55,48,37,31,38,29,22,22,34,37,30
Male,13 years,37,37,51,49,53,38,38,31,42,32,36,35,35
Male,14 years,67,74,60,50,58,40,50,44,50,53,55,44,43
Male,15 years,88,87,79,52,69,66,58,67,59,57,75,60,46
Male,16 years,126,108,105,111,105,101,107,104,114,92,101,80,90
Male,17 years,168,164,132,140,153,115,123,124,131,112,111,109,105
Male,18 years,283,247,205,198,183,180,154,168,182,154,178,180,134
Male,19 years,272,238,241,217,196,191,188,181,185,194,174,179,188
Male,20 years,287,302,232,268,218,190,188,209,208,205,199,192,186
Male,21 years,285,254,288,284,225,201,206,227,179,187,210,185,187
Male,22 years,261,273,268,275,256,209,179,215,242,190,216,201,195
Male,23 years,289,238,258,302,278,239,256,213,209,190,197,193,226
Male,24 years,283,277,262,303,259,239,257,250,243,235,232,219,224
Male,25 years,289,295,262,263,267,271,276,261,242,218,222,224,215
Male,26 years,314,297,313,261,273,282,252,270,260,245,242,214,219
Male,27 years,309,334,343,283,268,240,278,304,288,235,256,238,221
Male,28 years,291,322,318,281,269,284,277,288,273,279,278,278,210
Male,29 years,336,318,351,337,295,285,267,340,304,301,283,273,288
Male,30 years,329,342,300,322,314,334,285,318,300,322,318,285,312
Male,31 years,343,370,318,367,319,326,351,377,347,350,310,358,319
Male,32 years,360,349,369,350,375,340,350,389,359,340,319,369,345
Male,33 years,367,312,390,393,315,350,367,392,357,417,394,376,387
Male,34 years,381,388,393,344,362,390,394,415,446,402,383,365,390
Male,35 years,417,432,403,352,355,411,424,468,466,417,402,395,418
Male,36 years,509,436,448,388,403,395,427,445,456,476,432,496,494
Male,37 years,604,536,470,445,422,405,403,490,483,541,500,522,586
Male,38 years,677,659,640,516,472,466,519,469,529,535,559,497,566
Male,39 years,793,716,719,613,520,558,480,523,551,525,584,581,640
Male,40 years,972,898,783,761,658,586,538,603,637,566,611,599,681
Male,41 years,1086,1004,950,793,804,707,622,665,619,608,698,749,726
Male,42 years,1217,1066,1109,1019,913,840,808,737,711,643,709,666,708
Male,43 years,1393,1356,1285,1185,1080,1020,976,909,772,732,736,765,811
Male,44 years,1548,1550,1451,1350,1315,1181,1062,1029,1037,878,833,790,871
Male,45 years,1749,1750,1661,1489,1535,1420,1335,1288,1164,1071,966,897,880
Male,46 years,1999,1893,1813,1757,1657,1668,1457,1449,1353,1291,1173,1015,971
Male,47 years,2122,2151,2143,1988,1883,1809,1746,1715,1588,1438,1376,1334,1104
Male,48 years,2305,2382,2214,2216,2106,2099,2006,1939,1865,1743,1580,1540,1475
Male,49 years,2553,2505,2497,2402,2426,2407,2265,2248,2172,1932,1934,1768,1749
Male,50 years,2677,2676,2645,2679,2607,2540,2584,2548,2417,2252,2257,2008,1995
Male,51 years,2814,3042,3086,2986,2831,2937,2776,2764,2722,2580,2539,2352,2350
Male,52 years,3137,3084,3068,3150,3175,3170,3079,3197,3048,2905,2893,2736,2650
Male,53 years,3315,3254,3335,3343,3226,3454,3407,3456,3376,3296,3321,3086,3088
Male,54 years,3566,3644,3676,3501,3644,3725,3648,3724,3744,3715,3662,3489,3463
Male,55 years,3642,3843,3801,3815,3778,3888,3775,4054,4013,3927,4095,3881,4009
Male,56 years,4065,3953,4133,3933,3991,4071,4037,4282,4319,4329,4356,4265,4488
Male,57 years,4242,4389,4313,4292,4367,4445,4363,4500,4551,4534,4873,4651,4692
Male,58 years,4693,4638,4683,4692,4510,4784,4650,4855,4969,4886,5037,4802,5195
Male,59 years,4760,5107,4935,4977,4923,4937,4912,5243,5176,5126,5355,5418,5512
Male,60 years,4847,5174,5408,5315,5234,5352,5137,5468,5452,5396,5719,5547,5871
Male,61 years,4958,5079,5436,5724,5627,5647,5652,5697,5676,5924,5992,5860,6343
Male,62 years,4272,5208,5276,5626,5971,5943,6091,6144,6093,6160,6440,6345,6596
